expt_id_PCR;expt_date_PCR;expt_user_PCR;expt_version_PCR;expt_assay;expt_notes_PCR;expt_summary_PCR;expt_rxns_PCR;pcr_primers;pcr_primersource;pcr_targetpanel;pcr_enzyme;pcr_product_ngul;expt_id_seqlib;expt_date_seqlib;expt_user_seqlib;expt_sub-type;expt_version_seqlib;expt_notes_seqlib;expt_summary_seqlib;expt_rxns_seqlib;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;seqlib_identifier;barcode;pcrproductadded_vol_ul;sample_id;extraction_id;pcr_identifier;swga_identifier;sample_type
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;41.2;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_E3;barcode21;10;8021931;DR166;PCBM044_E3;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;59.2;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_F3;barcode22;10;8021932;DR167;PCBM044_F3;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;13. Jul;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_G3;barcode23;10;8021933;DR168;PCBM044_G3;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;33.6;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_H3;barcode24;10;8021934;DR169;PCBM044_H3;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;03. Jun;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_A4;barcode25;10;8021936;DR170;PCBM044_A4;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;66.4;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_B4;barcode26;10;8021935;DR171;PCBM044_B4;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;86.0;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_C4;barcode27;10;8021937;DR172;PCBM044_C4;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;0.68;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_D4;barcode28;10;8021938;DR173;PCBM044_D4;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;02. May;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_E4;barcode29;10;8021939;DR174;PCBM044_E4;;field
PCBM044;24.03.25;Brenda Mambwe;7;NOMADS_MVP;To sequence HRP2/3 samples with MVP protocol. ;HRP2/3_Batch2;96;N004;;Pf-03-9;KAPA HiFi ReadyMix;02. Sep;SLMM069;27.03.25;Mulenga Mwenda;rapid;2;MVP + Rapid Barcoding sequencing for HRP2 2024 samples with 16 ATSB samples. 3D7 amplifoed poorly and should be replaced. PCBMM044;HRP2 2024_Batch2;10;200;10;;;800;12;;;;;;;SLMM069_F4;barcode30;10;8021940;DR175;PCBM044_F4;;field
