Raw Data 		Experiment - evIC50_2_plate4_08APRIL2026 (Run on LCS480 1.5.1.62)					
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
C3	Sample 27	2	1	8	67170	37	1.01
C3	Sample 27	2	1	9	72170	37	1.02
C3	Sample 27	2	1	10	77170	36.96	1.01
C3	Sample 27	2	1	11	82170	37	1.01
C3	Sample 27	2	1	12	87180	37	1
C3	Sample 27	2	1	13	92170	37	1.01
C3	Sample 27	2	1	14	97170	37	1.01
C3	Sample 27	2	1	15	102180	37	1.01
C4	Sample 28	2	1	1	32170	36.96	1.11
C4	Sample 28	2	1	2	37170	36.96	1.11
C4	Sample 28	2	1	3	42170	36.96	1.1
C4	Sample 28	2	1	4	47170	37	1.1
C4	Sample 28	2	1	5	52170	36.96	1.1
C4	Sample 28	2	1	6	57170	36.96	1.11
C4	Sample 28	2	1	7	62170	37	1.1
C4	Sample 28	2	1	8	67170	37	1.1
C4	Sample 28	2	1	9	72170	37	1.1
C4	Sample 28	2	1	10	77170	36.96	1.09
C4	Sample 28	2	1	11	82170	37	1.1
C4	Sample 28	2	1	12	87180	37	1.09
C4	Sample 28	2	1	13	92170	37	1.1
C4	Sample 28	2	1	14	97170	37	1.09
C4	Sample 28	2	1	15	102180	37	1.1
C5	Sample 29	2	1	1	32170	36.96	1.03
C5	Sample 29	2	1	2	37170	36.96	1.03
C5	Sample 29	2	1	3	42170	36.96	1.03
C5	Sample 29	2	1	4	47170	37	1.03
C5	Sample 29	2	1	5	52170	36.96	1.02
C5	Sample 29	2	1	6	57170	36.96	1.03
C5	Sample 29	2	1	7	62170	37	1.02
C5	Sample 29	2	1	8	67170	37	1.02
C5	Sample 29	2	1	9	72170	37	1.02
C5	Sample 29	2	1	10	77170	36.96	1.02
C5	Sample 29	2	1	11	82170	37	1.01
C5	Sample 29	2	1	12	87180	37	1.02
C5	Sample 29	2	1	13	92170	37	1.02
C5	Sample 29	2	1	14	97170	37	1.02
C5	Sample 29	2	1	15	102180	37	1.02
C6	Sample 30	2	1	1	32170	36.96	1.19
C6	Sample 30	2	1	2	37170	36.96	1.18
C6	Sample 30	2	1	3	42170	36.96	1.19
C6	Sample 30	2	1	4	47170	37	1.18
C6	Sample 30	2	1	5	52170	36.96	1.18
C6	Sample 30	2	1	6	57170	36.96	1.18
C6	Sample 30	2	1	7	62170	37	1.18
C6	Sample 30	2	1	8	67170	37	1.18
C6	Sample 30	2	1	9	72170	37	1.18
C6	Sample 30	2	1	10	77170	36.96	1.17
C6	Sample 30	2	1	11	82170	37	1.17
C6	Sample 30	2	1	12	87180	37	1.17
C6	Sample 30	2	1	13	92170	37	1.17
C6	Sample 30	2	1	14	97170	37	1.17
C6	Sample 30	2	1	15	102180	37	1.17
C7	Sample 31	2	1	1	32170	36.96	1.16
C7	Sample 31	2	1	2	37170	36.96	1.16
C7	Sample 31	2	1	3	42170	36.96	1.15
C7	Sample 31	2	1	4	47170	37	1.15
C7	Sample 31	2	1	5	52170	36.96	1.15
C7	Sample 31	2	1	6	57170	36.96	1.15
C7	Sample 31	2	1	7	62170	37	1.14
C7	Sample 31	2	1	8	67170	37	1.15
C7	Sample 31	2	1	9	72170	37	1.14
C7	Sample 31	2	1	10	77170	36.96	1.13
C7	Sample 31	2	1	11	82170	37	1.13
C7	Sample 31	2	1	12	87180	37	1.13
C7	Sample 31	2	1	13	92170	37	1.14
C7	Sample 31	2	1	14	97170	37	1.14
C7	Sample 31	2	1	15	102180	37	1.14
C8	Sample 32	2	1	1	32170	36.96	1.09
C8	Sample 32	2	1	2	37170	36.96	1.09
C8	Sample 32	2	1	3	42170	36.96	1.09
C8	Sample 32	2	1	4	47170	37	1.09
C8	Sample 32	2	1	5	52170	36.96	1.09
C8	Sample 32	2	1	6	57170	36.96	1.09
C8	Sample 32	2	1	7	62170	37	1.09
C8	Sample 32	2	1	8	67170	37	1.09
C8	Sample 32	2	1	9	72170	37	1.08
C8	Sample 32	2	1	10	77170	36.96	1.08
C8	Sample 32	2	1	11	82170	37	1.08
C8	Sample 32	2	1	12	87180	37	1.08
C8	Sample 32	2	1	13	92170	37	1.09
C8	Sample 32	2	1	14	97170	37	1.09
C8	Sample 32	2	1	15	102180	37	1.09
C9	Sample 33	2	1	1	32170	36.96	1.38
C9	Sample 33	2	1	2	37170	36.96	1.38
C9	Sample 33	2	1	3	42170	36.96	1.38
C9	Sample 33	2	1	4	47170	37	1.38
C9	Sample 33	2	1	5	52170	36.96	1.38
C9	Sample 33	2	1	6	57170	36.96	1.39
C9	Sample 33	2	1	7	62170	37	1.4
C9	Sample 33	2	1	8	67170	37	1.4
C9	Sample 33	2	1	9	72170	37	1.41
C9	Sample 33	2	1	10	77170	36.96	1.4
C9	Sample 33	2	1	11	82170	37	1.4
C9	Sample 33	2	1	12	87180	37	1.4
C9	Sample 33	2	1	13	92170	37	1.41
C9	Sample 33	2	1	14	97170	37	1.4
C9	Sample 33	2	1	15	102180	37	1.41
C10	Sample 34	2	1	1	32170	36.96	1.4
C10	Sample 34	2	1	2	37170	36.96	1.39
C10	Sample 34	2	1	3	42170	36.96	1.39
C10	Sample 34	2	1	4	47170	37	1.39
C10	Sample 34	2	1	5	52170	36.96	1.39
C10	Sample 34	2	1	6	57170	36.96	1.39
C10	Sample 34	2	1	7	62170	37	1.39
C10	Sample 34	2	1	8	67170	37	1.39
C10	Sample 34	2	1	9	72170	37	1.38
C10	Sample 34	2	1	10	77170	36.96	1.38
C10	Sample 34	2	1	11	82170	37	1.38
C10	Sample 34	2	1	12	87180	37	1.37
C10	Sample 34	2	1	13	92170	37	1.37
C10	Sample 34	2	1	14	97170	37	1.37
C10	Sample 34	2	1	15	102180	37	1.37
C11	Sample 35	2	1	1	32170	36.96	1.36
C11	Sample 35	2	1	2	37170	36.96	1.37
C11	Sample 35	2	1	3	42170	36.96	1.35
C11	Sample 35	2	1	4	47170	37	1.36
C11	Sample 35	2	1	5	52170	36.96	1.35
C11	Sample 35	2	1	6	57170	36.96	1.36
C11	Sample 35	2	1	7	62170	37	1.35
C11	Sample 35	2	1	8	67170	37	1.34
C11	Sample 35	2	1	9	72170	37	1.35
C11	Sample 35	2	1	10	77170	36.96	1.34
C11	Sample 35	2	1	11	82170	37	1.34
C11	Sample 35	2	1	12	87180	37	1.34
C11	Sample 35	2	1	13	92170	37	1.34
C11	Sample 35	2	1	14	97170	37	1.35
C11	Sample 35	2	1	15	102180	37	1.35
C12	Sample 36	2	1	1	32170	36.96	1.42
C12	Sample 36	2	1	2	37170	36.96	1.41
C12	Sample 36	2	1	3	42170	36.96	1.41
C12	Sample 36	2	1	4	47170	37	1.41
C12	Sample 36	2	1	5	52170	36.96	1.4
C12	Sample 36	2	1	6	57170	36.96	1.41
C12	Sample 36	2	1	7	62170	37	1.4
C12	Sample 36	2	1	8	67170	37	1.4
C12	Sample 36	2	1	9	72170	37	1.4
C12	Sample 36	2	1	10	77170	36.96	1.39
C12	Sample 36	2	1	11	82170	37	1.4
C12	Sample 36	2	1	12	87180	37	1.39
C12	Sample 36	2	1	13	92170	37	1.4
C12	Sample 36	2	1	14	97170	37	1.4
C12	Sample 36	2	1	15	102180	37	1.4
D1	Sample 37	2	1	1	32170	36.96	0.96
D1	Sample 37	2	1	2	37170	36.96	0.97
D1	Sample 37	2	1	3	42170	36.96	0.96
D1	Sample 37	2	1	4	47170	37	0.96
D1	Sample 37	2	1	5	52170	36.96	0.96
D1	Sample 37	2	1	6	57170	36.96	0.96
