Raw Data 		Experiment - evIC50_3_plate1_11APRIL2026 (Run on LCS480 1.5.1.62)																							
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510																		
B10	Sample 22	2	1	8	67980	36.96	1.48																		
B10	Sample 22	2	1	9	72970	37	1.49																		
B10	Sample 22	2	1	10	77970	37	1.48																		
B10	Sample 22	2	1	11	82970	37	1.48																		
B10	Sample 22	2	1	12	87960	36.96	1.48																		
B10	Sample 22	2	1	13	92970	37	1.47																		
B10	Sample 22	2	1	14	97970	36.96	1.48																		
B10	Sample 22	2	1	15	102970	36.96	1.48																		
B11	Sample 23	2	1	1	32930	36.91	1.4																		
B11	Sample 23	2	1	2	37970	36.96	1.39																		
B11	Sample 23	2	1	3	42980	36.96	1.39																		
B11	Sample 23	2	1	4	47980	37	1.39																		
B11	Sample 23	2	1	5	52970	37	1.38																		
B11	Sample 23	2	1	6	57960	37	1.39																		
B11	Sample 23	2	1	7	62970	36.96	1.38																		
B11	Sample 23	2	1	8	67980	36.96	1.38																		
B11	Sample 23	2	1	9	72970	37	1.38																		
B11	Sample 23	2	1	10	77970	37	1.39																		
B11	Sample 23	2	1	11	82970	37	1.38																		
B11	Sample 23	2	1	12	87960	36.96	1.37																		
B11	Sample 23	2	1	13	92970	37	1.38																		
B11	Sample 23	2	1	14	97970	36.96	1.38																		
B11	Sample 23	2	1	15	102970	36.96	1.38																		
B12	Sample 24	2	1	1	32930	36.91	1.29																		
B12	Sample 24	2	1	2	37970	36.96	1.29																		
B12	Sample 24	2	1	3	42980	36.96	1.28																		
B12	Sample 24	2	1	4	47980	37	1.29																		
B12	Sample 24	2	1	5	52970	37	1.27																		
B12	Sample 24	2	1	6	57960	37	1.28																		
B12	Sample 24	2	1	7	62970	36.96	1.28																		
B12	Sample 24	2	1	8	67980	36.96	1.27																		
B12	Sample 24	2	1	9	72970	37	1.28																		
B12	Sample 24	2	1	10	77970	37	1.28																		
B12	Sample 24	2	1	11	82970	37	1.28																		
B12	Sample 24	2	1	12	87960	36.96	1.28																		
B12	Sample 24	2	1	13	92970	37	1.28																		
B12	Sample 24	2	1	14	97970	36.96	1.27																		
