Raw Data 		Experiment - evIC50_3_plate6_11APRIL2026 (Run on LCS480 1.5.1.62)																			
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510														
C6	Sample 30	2	1	7	64260	37	1.55														
C6	Sample 30	2	1	8	69260	37	1.56														
C6	Sample 30	2	1	9	74250	37	1.56														
C6	Sample 30	2	1	10	79260	37	1.55														
C6	Sample 30	2	1	11	84250	36.96	1.55														
C6	Sample 30	2	1	12	89260	36.91	1.55														
C6	Sample 30	2	1	13	94270	37	1.55														
C6	Sample 30	2	1	14	99250	36.96	1.55														
C6	Sample 30	2	1	15	104260	36.96	1.55														
C7	Sample 31	2	1	1	34290	36.96	1.5														
C7	Sample 31	2	1	2	39250	37	1.5														
C7	Sample 31	2	1	3	44250	36.96	1.49														
C7	Sample 31	2	1	4	49270	37	1.5														
C7	Sample 31	2	1	5	54260	37	1.49														
C7	Sample 31	2	1	6	59250	37	1.49														
C7	Sample 31	2	1	7	64260	37	1.49														
C7	Sample 31	2	1	8	69260	37	1.49														
C7	Sample 31	2	1	9	74250	37	1.48														
C7	Sample 31	2	1	10	79260	37	1.48														
C7	Sample 31	2	1	11	84250	36.96	1.48														
C7	Sample 31	2	1	12	89260	36.91	1.48														
C7	Sample 31	2	1	13	94270	37	1.48														
C7	Sample 31	2	1	14	99250	36.96	1.48														
C7	Sample 31	2	1	15	104260	36.96	1.49														
C8	Sample 32	2	1	1	34290	36.96	1.45														
C8	Sample 32	2	1	2	39250	37	1.44														
C8	Sample 32	2	1	3	44250	36.96	1.44														
C8	Sample 32	2	1	4	49270	37	1.45														
C8	Sample 32	2	1	5	54260	37	1.44														
C8	Sample 32	2	1	6	59250	37	1.44														
C8	Sample 32	2	1	7	64260	37	1.44														
C8	Sample 32	2	1	8	69260	37	1.44														
C8	Sample 32	2	1	9	74250	37	1.43														
C8	Sample 32	2	1	10	79260	37	1.43														
C8	Sample 32	2	1	11	84250	36.96	1.43														
C8	Sample 32	2	1	12	89260	36.91	1.43														
C8	Sample 32	2	1	13	94270	37	1.43														
C8	Sample 32	2	1	14	99250	36.96	1.43														
C8	Sample 32	2	1	15	104260	36.96	1.43														
C9	Sample 33	2	1	1	34290	36.96	2.71														
C9	Sample 33	2	1	2	39250	37	2.7														
C9	Sample 33	2	1	3	44250	36.96	2.69														
C9	Sample 33	2	1	4	49270	37	2.7														
C9	Sample 33	2	1	5	54260	37	2.69														
C9	Sample 33	2	1	6	59250	37	2.68														
C9	Sample 33	2	1	7	64260	37	2.68														
C9	Sample 33	2	1	8	69260	37	2.69														
C9	Sample 33	2	1	9	74250	37	2.68														
C9	Sample 33	2	1	10	79260	37	2.67														
C9	Sample 33	2	1	11	84250	36.96	2.68														
C9	Sample 33	2	1	12	89260	36.91	2.67														
C9	Sample 33	2	1	13	94270	37	2.67														
C9	Sample 33	2	1	14	99250	36.96	2.66														
C9	Sample 33	2	1	15	104260	36.96	2.67														
C10	Sample 34	2	1	1	34290	36.96	2.56														
C10	Sample 34	2	1	2	39250	37	2.55														
C10	Sample 34	2	1	3	44250	36.96	2.55														
C10	Sample 34	2	1	4	49270	37	2.54														
C10	Sample 34	2	1	5	54260	37	2.53														
C10	Sample 34	2	1	6	59250	37	2.53														
C10	Sample 34	2	1	7	64260	37	2.53														
C10	Sample 34	2	1	8	69260	37	2.53														
C10	Sample 34	2	1	9	74250	37	2.52														
C10	Sample 34	2	1	10	79260	37	2.51														
C10	Sample 34	2	1	11	84250	36.96	2.52														
C10	Sample 34	2	1	12	89260	36.91	2.52														
C10	Sample 34	2	1	13	94270	37	2.52														
C10	Sample 34	2	1	14	99250	36.96	2.52														
C10	Sample 34	2	1	15	104260	36.96	2.51														
