Raw Data 		Experiment - evIC50_plate2_07APRIL2026 (Run on LCS480 1.5.1.62)					
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
C10	Sample 34	2	1	3	65340	36.96	0.63
C10	Sample 34	2	1	4	78340	36.96	0.63
C10	Sample 34	2	1	5	91340	36.96	0.63
C10	Sample 34	2	1	6	104340	37	0.63
C10	Sample 34	2	1	7	117340	37	0.63
C10	Sample 34	2	1	8	130350	37	0.63
C10	Sample 34	2	1	9	143340	37	0.63
C10	Sample 34	2	1	10	156350	36.96	0.63
C10	Sample 34	2	1	11	169340	36.91	0.63
C10	Sample 34	2	1	12	182340	37	0.63
C10	Sample 34	2	1	13	195340	37	0.62
C10	Sample 34	2	1	14	208340	36.96	0.63
C10	Sample 34	2	1	15	221360	36.96	0.63
C11	Sample 35	2	1	1	39350	36.96	0.62
C11	Sample 35	2	1	2	52350	37	0.62
C11	Sample 35	2	1	3	65340	36.96	0.62
C11	Sample 35	2	1	4	78340	36.96	0.61
C11	Sample 35	2	1	5	91340	36.96	0.62
C11	Sample 35	2	1	6	104340	37	0.61
C11	Sample 35	2	1	7	117340	37	0.61
C11	Sample 35	2	1	8	130350	37	0.61
C11	Sample 35	2	1	9	143340	37	0.61
C11	Sample 35	2	1	10	156350	36.96	0.61
C11	Sample 35	2	1	11	169340	36.91	0.61
C11	Sample 35	2	1	12	182340	37	0.61
C11	Sample 35	2	1	13	195340	37	0.61
C11	Sample 35	2	1	14	208340	36.96	0.61
C11	Sample 35	2	1	15	221360	36.96	0.61
C12	Sample 36	2	1	1	39350	36.96	0.51
C12	Sample 36	2	1	2	52350	37	0.51
C12	Sample 36	2	1	3	65340	36.96	0.51
C12	Sample 36	2	1	4	78340	36.96	0.5
C12	Sample 36	2	1	5	91340	36.96	0.5
C12	Sample 36	2	1	6	104340	37	0.5
C12	Sample 36	2	1	7	117340	37	0.51
C12	Sample 36	2	1	8	130350	37	0.51
C12	Sample 36	2	1	9	143340	37	0.5
C12	Sample 36	2	1	10	156350	36.96	0.5
C12	Sample 36	2	1	11	169340	36.91	0.51
C12	Sample 36	2	1	12	182340	37	0.5
C12	Sample 36	2	1	13	195340	37	0.5
C12	Sample 36	2	1	14	208340	36.96	0.5
C12	Sample 36	2	1	15	221360	36.96	0.5
D1	Sample 37	2	1	1	39350	36.96	0.55
