Raw Data 		Experiment - evIC50_3_plate4_11APRIL2026 (Run on LCS480 1.5.1.62)																				
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510															
B4	Sample 16	2	1	12	82430	37	1.61															
B4	Sample 16	2	1	13	87040	37	1.61															
B4	Sample 16	2	1	14	91640	37	1.6															
B4	Sample 16	2	1	15	96240	37	1.61															
B5	Sample 17	2	1	1	31610	36.91	2.64															
B5	Sample 17	2	1	2	36240	36.96	2.64															
B5	Sample 17	2	1	3	40830	37	2.64															
B5	Sample 17	2	1	4	45430	36.96	2.63															
B5	Sample 17	2	1	5	50130	37	2.63															
B5	Sample 17	2	1	6	54730	36.96	2.63															
B5	Sample 17	2	1	7	59330	36.96	2.63															
B5	Sample 17	2	1	8	63940	37	2.63															
B5	Sample 17	2	1	9	68630	37	2.62															
B5	Sample 17	2	1	10	73230	37	2.64															
B5	Sample 17	2	1	11	77830	37	2.63															
B5	Sample 17	2	1	12	82430	37	2.63															
B5	Sample 17	2	1	13	87040	37	2.63															
B5	Sample 17	2	1	14	91640	37	2.62															
B5	Sample 17	2	1	15	96240	37	2.62															
B6	Sample 18	2	1	1	31610	36.91	2.63															
B6	Sample 18	2	1	2	36240	36.96	2.64															
B6	Sample 18	2	1	3	40830	37	2.64															
B6	Sample 18	2	1	4	45430	36.96	2.63															
B6	Sample 18	2	1	5	50130	37	2.62															
B6	Sample 18	2	1	6	54730	36.96	2.62															
B6	Sample 18	2	1	7	59330	36.96	2.62															
B6	Sample 18	2	1	8	63940	37	2.61															
B6	Sample 18	2	1	9	68630	37	2.61															
B6	Sample 18	2	1	10	73230	37	2.63															
B6	Sample 18	2	1	11	77830	37	2.61															
B6	Sample 18	2	1	12	82430	37	2.62															
B6	Sample 18	2	1	13	87040	37	2.61															
B6	Sample 18	2	1	14	91640	37	2.6															
B6	Sample 18	2	1	15	96240	37	2.61															
B7	Sample 19	2	1	1	31610	36.91	2.61															
B7	Sample 19	2	1	2	36240	36.96	2.61															
B7	Sample 19	2	1	3	40830	37	2.59															
B7	Sample 19	2	1	4	45430	36.96	2.6															
B7	Sample 19	2	1	5	50130	37	2.58															
B7	Sample 19	2	1	6	54730	36.96	2.59															
B7	Sample 19	2	1	7	59330	36.96	2.59															
B7	Sample 19	2	1	8	63940	37	2.58															
B7	Sample 19	2	1	9	68630	37	2.58															
B7	Sample 19	2	1	10	73230	37	2.59															
B7	Sample 19	2	1	11	77830	37	2.6															
B7	Sample 19	2	1	12	82430	37	2.59															
B7	Sample 19	2	1	13	87040	37	2.58															
B7	Sample 19	2	1	14	91640	37	2.58															
B7	Sample 19	2	1	15	96240	37	2.59															
B8	Sample 20	2	1	1	31610	36.91	2.53															
B8	Sample 20	2	1	2	36240	36.96	2.54															
B8	Sample 20	2	1	3	40830	37	2.54															
B8	Sample 20	2	1	4	45430	36.96	2.53															
B8	Sample 20	2	1	5	50130	37	2.53															
B8	Sample 20	2	1	6	54730	36.96	2.52															
B8	Sample 20	2	1	7	59330	36.96	2.52															
B8	Sample 20	2	1	8	63940	37	2.52															
B8	Sample 20	2	1	9	68630	37	2.52															
B8	Sample 20	2	1	10	73230	37	2.52															
B8	Sample 20	2	1	11	77830	37	2.53															
B8	Sample 20	2	1	12	82430	37	2.52															
B8	Sample 20	2	1	13	87040	37	2.51															
B8	Sample 20	2	1	14	91640	37	2.52															
B8	Sample 20	2	1	15	96240	37	2.52															
B9	Sample 21	2	1	1	31610	36.91	2.97															
B9	Sample 21	2	1	2	36240	36.96	2.69															
B9	Sample 21	2	1	3	40830	37	3.45															
