pool,microsat_kbp,fluorophore,plate,well,major_peak_size,major_peak_height,minor_peak_size,minor_peak_height,n_peaks,allele_size,sample_id,extraction_id,set_type,province,district,carrier_A724E
1,15.0,HEX,C01,B9,141.53,7949.0,,,1,141.0,8034052,Z109,representative,western,sesheke,False
1,15.0,HEX,C01,E1,135.36,8194.0,,,1,135.0,8034059,Z002,clonal,western,sesheke,True
1,15.0,HEX,C02,E10,138.54,953.0,310.17,455.0,2,138.0,1012412,Z281,clonal,northwestern,zambezi,True
1,15.0,HEX,C02,E6,135.49,3169.0,127.29,917.0,2,135.0,1012423,Z229,clonal,northwestern,mufumbwe,False
1,15.0,HEX,C02,E8,132.44,2115.0,124.37,313.0,2,132.0,1012427,Z253,representative,northwestern,mufumbwe,False
1,15.0,HEX,C02,H7,135.43,859.0,310.12,278.0,2,135.0,1012431,Z244,representative,northwestern,mufumbwe,False
1,15.0,HEX,C02,A8,135.45,5516.0,127.99,2793.0,2,135.0,1012434,Z246,representative,northwestern,mufumbwe,True
1,15.0,HEX,C02,B8,145.08,6506.0,136.97,2207.0,2,144.0,1012438,Z249,representative,northwestern,mufumbwe,False
1,15.0,HEX,C02,C8,135.43,5079.0,128.16,2770.0,2,135.0,1012443,Z250,clonal,northwestern,mufumbwe,False
1,15.0,HEX,C02,D8,135.46,1929.0,127.58,444.0,3,135.0,1012444,Z251,clonal,northwestern,mufumbwe,True
1,15.0,HEX,C02,G7,135.46,5176.0,127.75,2594.0,2,135.0,1012449,Z243,representative,northwestern,mufumbwe,True
1,15.0,HEX,C02,F7,135.49,1357.0,127.75,189.0,2,135.0,1012540,Z242,representative,northwestern,zambezi,False
1,15.0,HEX,C02,C7,135.4,5586.0,128.45,2071.0,2,135.0,1012543,Z239,clonal,northwestern,zambezi,False
1,15.0,HEX,C02,F10,135.47,481.0,310.18,396.0,2,135.0,1012544,Z283,representative,northwestern,zambezi,True
1,15.0,HEX,C02,D7,135.37,5471.0,127.7,2539.0,2,135.0,1012552,Z240,clonal,northwestern,zambezi,True
1,15.0,HEX,C02,C6,135.42,5847.0,128.13,2869.0,2,135.0,1040820,Z227,representative,northwestern,manyinga,True
1,15.0,HEX,C02,G5,135.47,991.0,310.17,361.0,2,135.0,1045436,Z212,clonal,western,sesheke,False
1,15.0,HEX,C02,C2,141.73,2446.0,310.33,466.0,2,141.0,1045447,Z157,clonal,western,sesheke,False
1,15.0,HEX,C02,H6,135.5,3224.0,127.0,690.0,2,135.0,1046717,Z234,clonal,western,luampa,True
1,15.0,HEX,C02,B7,135.4,361.0,135.4,361.0,2,135.0,1046736,Z238,representative,western,luampa,False
1,15.0,HEX,C02,G8,135.44,5265.0,127.09,2154.0,2,135.0,1046791,Z257,clonal,western,kalabo,True
1,15.0,HEX,C02,F8,132.38,3839.0,,,1,132.0,1046798,Z255,clonal,western,kalabo,False
1,15.0,HEX,C02,H8,135.5,1994.0,310.19,295.0,2,135.0,1046802,Z259,clonal,western,kalabo,False
1,15.0,HEX,C02,D2,138.7,7391.0,,,1,138.0,2033430,Z159,representative,western,sesheke,False
1,15.0,HEX,C02,E9,135.48,706.0,310.16,300.0,2,135.0,5053699,Z265,representative,western,sikongo,True
1,15.0,HEX,C02,A7,138.53,4507.0,131.09,1891.0,2,138.0,5053700,Z235,representative,western,sikongo,False
1,15.0,HEX,C02,B9,135.38,5338.0,128.33,2454.0,2,135.0,5053711,Z262,clonal,western,sikongo,True
1,15.0,HEX,C02,C9,129.26,6158.0,122.64,2160.0,2,129.0,5053713,Z263,representative,western,sikongo,False
1,15.0,HEX,C02,A9,138.53,4352.0,131.06,1354.0,2,138.0,5053716,Z260,clonal,western,sikongo,False
1,15.0,HEX,C02,F9,135.49,1017.0,310.16,383.0,2,135.0,5053732,Z267,representative,western,sikongo,True
1,15.0,HEX,C02,A10,135.43,4534.0,128.02,2070.0,2,135.0,5053831,Z274,clonal,northwestern,solwezi,False
1,15.0,HEX,C02,G10,135.5,4395.0,127.1,1593.0,2,135.0,5053835,Z284,clonal,northwestern,solwezi,False
1,15.0,HEX,C02,F4,135.49,6123.0,127.14,1771.0,2,135.0,5053836,Z196,representative,northwestern,solwezi,True
1,15.0,HEX,C02,H9,135.5,4789.0,127.69,2305.0,2,135.0,5053842,Z272,representative,northwestern,solwezi,False
1,15.0,HEX,C02,B10,135.42,6145.0,128.29,2556.0,2,135.0,8019451,Z276,clonal,northwestern,kasempa,False
1,15.0,HEX,C02,D10,135.46,5730.0,127.65,2369.0,2,135.0,8021027,Z280,representative,northwestern,kasempa,False
1,15.0,HEX,C02,B2,135.52,570.0,132.44,446.0,3,135.0,8023230,Z156,representative,northwestern,kasempa,True
1,15.0,HEX,C02,C3,135.4,241.0,135.4,241.0,2,135.0,8023285,Z171,representative,northwestern,solwezi,False
1,15.0,HEX,C02,A2,142.04,1935.0,310.3,340.0,2,141.0,8023300,Z153,representative,northwestern,mushindano,False
1,15.0,HEX,C02,E3,138.46,5011.0,130.35,1165.0,2,138.0,8023302,Z177,representative,northwestern,mushindano,False
1,15.0,HEX,C02,B6,135.42,6247.0,128.06,2706.0,2,135.0,8023322,Z223,representative,northwestern,manyinga,True
1,15.0,HEX,C02,G9,135.45,4980.0,127.72,2315.0,2,135.0,8023417,Z270,representative,northwestern,kabompo,True
1,15.0,HEX,C02,A6,135.45,5183.0,127.91,1953.0,2,135.0,8023419,Z220,representative,northwestern,kabompo,True
1,15.0,HEX,C02,F3,135.42,4914.0,127.67,1440.0,2,135.0,8023427,Z180,representative,northwestern,kabompo,True
1,15.0,HEX,C02,A4,141.75,6392.0,,,1,141.0,8023432,Z185,clonal,northwestern,kabompo,False
